event_id,source_camera,source_pixel_x,source_pixel_y,renderer_median_event_depth,world_x,world_y,world_z,event_normal_x,event_normal_y,event_normal_z,chart_u,chart_v,chart_n,fixed_projected_u,fixed_projected_v,fixed_projected_n,fixed_is_u_min_owner,fixed_is_u_max_owner,fixed_is_v_min_owner,fixed_is_v_max_owner,fixed_leave_one_out_delta_u_span,fixed_extent_reduction_u_span,fixed_leave_one_out_delta_v_span,fixed_extent_reduction_v_span,fixed_leave_one_out_delta_rectangular_chart_area,fixed_extent_reduction_rectangular_chart_area,fixed_relative_area_change,pca_pca_origin_shift_world,pca_axis_u_angle_degrees,pca_axis_v_angle_degrees,pca_axis_n_angle_degrees,pca_right_handed_sign_alignment,pca_joint_axis_rotation_angle_degrees,pca_leave_one_out_delta_u_span,pca_extent_reduction_u_span,pca_leave_one_out_delta_v_span,pca_extent_reduction_v_span,pca_leave_one_out_delta_rectangular_chart_area,pca_extent_reduction_rectangular_chart_area,review_extrema_owner,fixed_area_rank,pca_area_rank,fixed_area_leverage_is_not_a_decision,pca_orientation_is_not_a_decision
10,DSC08043.JPG,228.0,214.0,3.431411027908325,1.263899910759842,1.5573918140100635,0.9464934295798774,0.1959170266427515,0.175892865265906,0.9647166519864852,0.9611797669562363,0.9230946197272226,1.7727921022011526,0.9611797669562363,0.9230946197272226,1.7727921022011526,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.3683556446608654e-05,0.006351749044696481,0.006350334350113764,0.0002544173839517724,"[1, 1, 1]",0.006353589133769093,-1.8995036468405502e-05,1.8995036468405502e-05,2.9079404488152605e-05,-2.9079404488152605e-05,1.4876088953563738e-05,-1.4876088953563738e-05,False,15,1184,True,True
11,DSC08043.JPG,229.0,214.0,3.4387872219085693,1.2554673369010312,1.5613531876598283,0.9463587935891075,0.31658912946397166,-0.012289556915683404,0.9484831521413867,0.9539076958050164,0.9185847010287725,1.776479448731156,0.9539076958050164,0.9185847010287725,1.776479448731156,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.9053201140672706e-05,0.008064023527663559,0.008052901931494865,0.0009036713104634595,"[1, 1, 1]",0.008083759282378537,-2.2555910055732653e-05,2.2555910055732653e-05,3.897792955798174e-05,-3.897792955798174e-05,2.5348053554807848e-05,-2.5348053554807848e-05,False,16,1000,True,True
12,DSC08043.JPG,230.0,214.0,3.4458324909210205,1.2471267648603315,1.5650370460460368,0.9464060681486542,0.2455964322394326,0.1004921089615777,0.9641492252279811,0.9469080269863362,0.9139309464089207,1.780012916408484,0.9469080269863362,0.9139309464089207,1.780012916408484,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,6.437688927866244e-05,0.009991988681841549,0.00996932503277352,0.001654450757889889,"[1, 1, 1]",0.010048992139071277,-2.653910739525145e-05,2.653910739525145e-05,5.028204320867147e-05,-5.028204320867147e-05,3.746207354193842e-05,-3.746207354193842e-05,False,17,838,True,True
13,DSC08043.JPG,231.0,214.0,3.447350025177002,1.2407274706069842,1.5642263002754548,0.9492434984769629,0.24737807856401145,0.35794653433482393,0.9003767904625632,0.944534614535421,0.9073636169115569,1.78095969152663,0.944534614535421,0.9073636169115569,1.78095969152663,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,6.741376888487263e-05,0.012034354179725782,0.012029478824407462,0.0019961509031328783,"[1, 1, 1]",0.012114426518971365,-3.2298307891087674e-05,3.2298307891087674e-05,6.120979226209577e-05,-6.120979226209577e-05,4.5619177869493654e-05,-4.5619177869493654e-05,False,18,744,True,True
14,DSC08043.JPG,232.0,214.0,3.448869228363037,1.2343224189170339,1.5634151091029138,0.9520832628970862,0.20463510323452017,0.6260568777715467,0.7524475133317537,0.9421588326889715,0.9007906128099245,1.7819074562279917,0.9421588326889715,0.9007906128099245,1.7819074562279917,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,7.060316175045164e-05,0.01416682457384276,0.014183936009928837,0.002378754495319025,"[1, 1, 1]",0.01427482803378467,-3.831440540547071e-05,3.831440540547071e-05,7.276935176858679e-05,-7.276935176858679e-05,5.438941859248203e-05,-5.438941859248203e-05,False,19,657,True,True
15,DSC08043.JPG,233.0,214.0,3.4503896236419678,1.227911772424787,1.562603083129981,0.954925605059382,0.2401151684460277,0.6831178215560234,0.6897062764356205,0.9397810796126222,0.8942117631997142,1.7828559875722225,0.9397810796126222,0.8942117631997142,1.7828559875722225,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,7.392585965338096e-05,0.016389458223039388,0.016433201971317403,0.002802521585219604,"[1, 1, 1]",0.016530556471095328,-4.458841001508951e-05,4.458841001508951e-05,8.49618205827074e-05,-8.49618205827074e-05,6.377279325020524e-05,-6.377279325020524e-05,False,20,551,True,True
16,DSC08043.JPG,234.0,214.0,3.451911211013794,1.2214955250486381,1.5617902202369813,0.9577705286994803,0.2632312144111772,0.6705840783208498,0.6935606113831678,0.9374013541625235,0.8876270607280151,1.7838052858046536,0.9374013541625235,0.8876270607280151,1.7838052858046536,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,7.736536894466311e-05,0.01870237280897461,0.01877775554470275,0.0032676573250551367,"[1, 1, 1]",0.01888200778302424,-5.1121213836546886e-05,5.1121213836546886e-05,9.778840499397035e-05,-9.778840499397035e-05,7.37697035622098e-05,-7.37697035622098e-05,False,21,481,True,True
17,DSC08043.JPG,235.0,214.0,3.453434467315674,1.2150734979366713,1.560976904169873,0.9606178001287136,0.2999184037026878,0.6488273646248315,0.6993368301715759,0.9350192551227864,0.8810366566913694,1.7847555745198482,0.9350192551227864,0.8810366566913694,1.7847555745198482,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,8.090761505030564e-05,0.02110575142745288,0.021218088898128925,0.003774372999610958,"[1, 1, 1]",0.02132962647280336,-5.791367131280367e-05,5.791367131280367e-05,0.0001112506911531419,-0.0001112506911531419,8.438127659893269e-05,-8.438127659893269e-05,False,22,410,True,True
18,DSC08043.JPG,200.0,215.0,3.440504550933838,1.4263875695983488,1.6261420083787776,0.8467061733352775,-0.09200843903292803,-0.7859833677348214,-0.6113628977873556,0.987708432365071,1.1240096147633805,1.776756908706796,0.987708432365071,1.1240096147633805,1.776756908706796,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.00011420798973903536,0.026047377308515987,0.0262325547734686,0.003177440987622271,"[1, 1, 1]",0.02623651010942461,8.196571379359696e-05,-8.196571379359696e-05,-0.0001343651038647753,0.0001343651038647753,-7.955471120268953e-05,7.955471120268953e-05,False,23,442,True,True
19,DSC08043.JPG,201.0,215.0,3.4388856887817383,1.4210289375293654,1.6227581656097387,0.8511609744364776,0.08941724210615613,0.7827245337282979,0.615911406871108,0.9879470867850647,1.1162842205560404,1.7762354580412683,0.9879470867850647,1.1162842205560404,1.7762354580412683,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0001095091690007804,0.02477491548754642,0.02492109955095436,0.002757494194535885,"[1, 1, 1]",0.024924500142565476,7.789982457784284e-05,-7.789982457784284e-05,-0.00012623549651835653,0.00012623549651835653,-7.307762808661522e-05,7.307762808661522e-05,False,24,486,True,True
20,DSC08043.JPG,202.0,215.0,3.4372684955596924,1.4156753011994365,1.619377627092285,0.855611507667073,0.08951065965214387,0.7811033911690827,0.6179525338671226,0.9881853957443547,1.1085661515443626,1.775714566278368,0.9881853957443547,1.1085661515443626,1.775714566278368,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.00010483205726646525,0.023513608260260648,0.023626392649604706,0.00236387860419366,"[1, 1, 1]",0.02362926282256517,7.386874791315279e-05,-7.386874791315279e-05,-0.00011831237399939631,0.00011831237399939631,-6.689256353231698e-05,6.689256353231698e-05,False,25,532,True,True
21,DSC08043.JPG,203.0,215.0,3.435652732849121,1.4103267253768896,1.6160001921091354,0.8600579045619076,-0.10500895106260724,0.8539269941070873,0.5096879525081653,0.988423555006877,1.100855302444578,1.775194122172476,0.988423555006877,1.100855302444578,1.775194122172476,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.00010017891115425764,0.02226335017460117,0.022347949931834667,0.001996421108796487,"[1, 1, 1]",0.022350316842882863,6.987213810960569e-05,-6.987213810960569e-05,-0.00011059431498483541,0.00011059431498483541,-6.0997702036491575e-05,6.0997702036491575e-05,False,26,578,True,True
22,DSC08043.JPG,204.0,215.0,3.4340386390686035,1.404983129075786,1.6126260557250995,0.8645000435478227,-0.10450644501296312,0.8539247870741873,0.5097949205033888,0.9886613657584359,1.093151758932691,1.774674237623428,0.9886613657584359,1.093151758932691,1.774674237623428,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,9.55526288154305e-05,0.021024239032681694,0.021085494144691977,0.0016550632806792201,"[1, 1, 1]",0.02108738871319336,6.59103403326533e-05,-6.59103403326533e-05,-0.0001030814896092469,0.0001030814896092469,-5.539269171883632e-05,5.539269171883632e-05,False,27,641,True,True
23,DSC08043.JPG,205.0,215.0,3.4324257373809814,1.3996446519687893,1.6092548200384078,0.8689381814684553,-0.10853155299382505,0.8531986516103354,0.51016954328444,0.9888992214333187,1.0854553226960155,1.7741546897310994,0.9888992214333187,1.0854553226960155,1.7741546897310994,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,9.095635565281414e-05,0.019796090071614387,0.019838447959765214,0.0013395811898371704,"[1, 1, 1]",0.01983990519945497,6.198272855995057e-05,-6.198272855995057e-05,-9.577188060982955e-05,9.577188060982955e-05,-5.00752094287904e-05,5.00752094287904e-05,False,28,700,True,True
24,DSC08043.JPG,206.0,215.0,3.430814504623413,1.3943111389765053,1.6058868775809811,0.8733720709437712,-0.01831559089810805,0.7659146356291769,0.6426813441038088,0.9891367256994933,1.07776617341986,1.7736357020171203,0.9891367256994933,1.07776617341986,1.7736357020171203,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,8.639432587414588e-05,0.018579090179783285,0.018606613317716285,0.0010499583199352195,"[1, 1, 1]",0.018607674012156745,5.8089948404838054e-05,-5.8089948404838054e-05,-8.866635280391222e-05,8.866635280391222e-05,-4.504554430839747e-05,4.504554430839747e-05,False,29,749,True,True
25,DSC08043.JPG,207.0,215.0,3.4292049407958984,1.3889825815846872,1.602522225385271,0.8778017172036567,-0.26625600773440306,0.8377258012155483,0.47678424923974255,0.989373876955574,1.070084300810146,1.773117274824954,0.989373876955574,1.070084300810146,1.773117274824954,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,8.187143569519278e-05,0.017373232370947247,0.01738958299349572,0.0007860561864784431,"[1, 1, 1]",0.017390294467194117,5.4231978656948954e-05,-5.4231978656948954e-05,-8.176426585082552e-05,8.176426585082552e-05,-4.0302626362453964e-05,4.0302626362453964e-05,False,30,805,True,True
26,DSC08043.JPG,208.0,215.0,3.4275968074798584,1.3836590465888656,1.5991606634405564,0.882227250537744,-0.24593365177047324,0.8681732529882105,0.4310357777757067,0.9896108713467789,1.062409602034077,1.7725992968272049,0.9896108713467789,1.062409602034077,1.7725992968272049,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,7.739356708145692e-05,0.016178436043588797,0.01618686753749327,0.0005476849803868122,"[1, 1, 1]",0.01618728563309139,5.0408533849743975e-05,-5.0408533849743975e-05,-7.506441332627567e-05,7.506441332627567e-05,-3.584489955255066e-05,3.584489955255066e-05,False,31,862,True,True
27,DSC08043.JPG,209.0,215.0,3.425990104675293,1.3783405266911157,1.5958021892032226,0.8866486754287939,0.08518855424868874,0.807647660902657,0.5834793621572961,0.989847707500494,1.054742068268157,1.772081768318269,0.989847707500494,1.054742068268157,1.772081768318269,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,7.296809894085869e-05,0.014994710894754178,0.014998062955304805,0.00033469560388745017,"[1, 1, 1]",0.014998254395677937,4.661963095431432e-05,-4.661963095431432e-05,-6.856627699369788e-05,6.856627699369788e-05,-3.167143388482785e-05,3.167143388482785e-05,False,32,915,True,True
28,DSC08043.JPG,210.0,215.0,3.4140703678131104,1.3763201464384265,1.5839345451327909,0.8964547830818567,-0.3102819271125415,0.8198087517440912,0.4812886205502085,0.9986458957139814,1.0431206940726603,1.7667321696959741,0.9986458957139814,1.0431206940726603,1.7667321696959741,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,6.400868989515789e-05,0.011046012391228252,0.0111176307962501,0.0013208151490470663,"[1, 1, 1]",0.011121165803695782,3.3231956083179526e-05,-3.3231956083179526e-05,-4.146383383885066e-05,4.146383383885066e-05,-9.769060160369492e-06,9.769060160369492e-06,False,33,1294,True,True
29,DSC08043.JPG,211.0,215.0,3.403562307357788,1.3738871951397778,1.5732452133500714,0.9054999339730427,-0.3067131211219253,0.9370115590015474,0.16714185480943056,1.0062794966152935,1.032087548841577,1.762042429381597,1.0062794966152935,1.032087548841577,1.762042429381597,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.5916649535959616e-05,0.007998674179563584,0.008324243101420138,0.002402184516569666,"[1, 1, 1]",0.008337934465823833,2.3126016225560875e-05,-2.3126016225560875e-05,-2.1603832845773496e-05,2.1603832845773496e-05,5.72933020981381e-06,-5.72933020981381e-06,False,34,1385,True,True
30,DSC08043.JPG,212.0,215.0,3.4044108390808105,1.367825502682399,1.571927171079231,0.9086136117892727,-0.23937003156764516,0.9697731902298197,0.047349208005866644,1.0044860260057211,1.0254121124997737,1.762673581691246,1.0044860260057211,1.0254121124997737,1.762673581691246,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.255383966509031e-05,0.007713127498042518,0.007956841789747947,0.0020628098904415942,"[1, 1, 1]",0.007970534831369948,2.2278460401592426e-05,-2.2278460401592426e-05,-2.2367108067467e-05,2.2367108067467e-05,2.832674725450346e-06,-2.832674725450346e-06,False,35,1458,True,True
31,DSC08043.JPG,213.0,215.0,3.4410696029663086,1.350144987630043,1.600097686414073,0.8931322425189581,-0.09030671250654122,0.8587881025022706,0.5043091241260768,0.9729334019512134,1.032264277052783,1.7800899848056773,0.9729334019512134,1.032264277052783,1.7800899848056773,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,6.718674413801076e-05,0.0156167459652377,0.015764226909975223,0.002516395534167061,"[1, 1, 1]",0.01579122938809228,5.125910043268789e-05,-5.125910043268789e-05,-8.30861895295687e-05,8.30861895295687e-05,-4.812111586183221e-05,4.812111586183221e-05,False,36,717,True,True
32,DSC08043.JPG,214.0,215.0,3.4143316745758057,1.35301189078231,1.5760554336106416,0.9105841408258599,-0.4764535378496149,0.2287385576215951,-0.8489232583265568,0.9940608008507221,1.015141260735513,1.7677914834334547,0.9940608008507221,1.015141260735513,1.7677914834334547,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.0236147389728485e-05,0.008507278579368841,0.008531162400931304,0.0007194075277720871,"[1, 1, 1]",0.008534403028852016,2.553452657494404e-05,-2.553452657494404e-05,-3.377643467894487e-05,3.377643467894487e-05,-1.0817681018515657e-05,1.0817681018515657e-05,False,37,1272,True,True
33,DSC08043.JPG,215.0,215.0,3.4134631156921387,1.3474903765747899,1.5733175186427208,0.9145998519980193,-0.222395686688739,0.9457480529972467,0.23685602967659733,0.9936910869940233,1.0077966972959076,1.7676184710657035,0.9936910869940233,1.0077966972959076,1.7676184710657035,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.675488451901607e-05,0.007589656357698912,0.0076119361974845865,0.0006804934814655043,"[1, 1, 1]",0.00761602023405716,2.2647441691558967e-05,-2.2647441691558967e-05,-2.9969188678258263e-05,2.9969188678258263e-05,-9.614728702089792e-06,9.614728702089792e-06,False,38,1297,True,True
34,DSC08043.JPG,216.0,215.0,3.4118919372558594,1.3422033129751034,1.5700032786013665,0.9189764283101992,-0.1886893547149228,0.8976453204087944,0.3982828218307425,0.9939064858112684,1.0001945506153525,1.7671158599117953,0.9939064858112684,1.0001945506153525,1.7671158599117953,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.312884194617717e-05,0.006542629060337112,0.0065664694169026115,0.000688419561762533,"[1, 1, 1]",0.006572611271300829,1.928816290575064e-05,-1.928816290575064e-05,-2.5342348368706524e-05,2.5342348368706524e-05,-7.874859286882696e-06,7.874859286882696e-06,False,39,1334,True,True
35,DSC08043.JPG,217.0,215.0,3.41465163230896,1.335487307592817,1.570247087972963,0.9211187265705036,0.019847770351934253,0.8770624920448932,0.4799660936566859,0.9905183558083829,0.9941996911822043,1.7686442082363023,0.9905183558083829,0.9941996911822043,1.7686442082363023,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.206788494347569e-05,0.006147736922099711,0.0061542324805231525,0.00038772041242692164,"[1, 1, 1]",0.006157092347379409,1.839597832331563e-05,-1.839597832331563e-05,-2.529754348157276e-05,2.529754348157276e-05,-9.458453951172174e-06,9.458453951172174e-06,False,40,1299,True,True
36,DSC08043.JPG,218.0,215.0,3.408494710922241,1.3317300571915318,1.5631712574558103,0.9278507604179544,-0.07102763234908274,-0.9372922454197905,-0.3412305996226171,0.9945525049293733,0.9849159558126291,1.7659904399220063,0.9945525049293733,0.9849159558126291,1.7659904399220063,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,3.657086817296238e-05,0.0044498817596216825,0.004469700823943188,0.0006595516081725849,"[1, 1, 1]",0.004484120953679309,1.253944710599697e-05,-1.253944710599697e-05,-1.6441960572155523e-05,1.6441960572155523e-05,-5.0617516729190015e-06,5.0617516729190015e-06,False,41,1403,True,True
37,DSC08043.JPG,219.0,215.0,3.41847825050354,1.3225935032964033,1.5693369225170757,0.926289093091876,0.13052291448076048,0.865603681674758,0.48341910912432134,0.9851467563214688,0.9815571875718211,1.7709079003024344,0.9851467563214688,0.9815571875718211,1.7709079003024344,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.034784519120302e-05,0.004793874326412158,0.0047938833736373854,2.50084277532787e-05,"[1, 1, 1]",0.004793911579582915,1.4783142833874052e-05,-1.4783142833874052e-05,-2.118170521492324e-05,2.118170521492324e-05,-9.07354462098553e-06,9.07354462098553e-06,False,42,1309,True,True
38,DSC08043.JPG,220.0,215.0,3.42193865776062,1.3156165842131986,1.5701460472060946,0.928088151748882,0.1591400668152912,0.8104145855047376,0.5638285543808588,0.9811700050410586,0.975786447669662,1.7727660458679642,0.9811700050410586,0.975786447669662,1.7727660458679642,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.1080573795980896e-05,0.00415812931215799,0.0041574821335243735,0.0001995548650970269,"[1, 1, 1]",0.004160199554665591,1.3359429377413079e-05,-1.3359429377413079e-05,-1.9229741169857206e-05,1.9229741169857206e-05,-8.351668205897056e-06,8.351668205897056e-06,False,43,1325,True,True
39,DSC08043.JPG,221.0,215.0,3.4299583435058594,1.3070869551147117,1.5746839965690451,0.9275648336612643,-0.3386019529924169,0.938843034387825,0.06262965919740067,0.9733905745669116,0.9716492346115783,1.7767642139996491,0.9733905745669116,0.9716492346115783,1.7767642139996491,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.497478656824148e-05,0.0039434038547180306,0.003918497184914759,0.000686643175504612,"[1, 1, 1]",0.003960841732402497,1.3985343307876263e-05,-1.3985343307876263e-05,-1.9513141960247893e-05,1.9513141960247893e-05,-7.676020495228641e-06,7.676020495228641e-06,False,44,1339,True,True
